accession,species,description,source_type,plasmid_name,replicon_types,mge_elements,country,percent_identity,query_coverage,alignment_length,mismatches,gaps,evalue,bit_score,hit_length,subject_start,subject_end,geographic_origin,host_organism,collection_date,isolation_source_detail
CP034125,Klebsiella pneumoniae,"Klebsiella pneumoniae strain BJCFK909 plasmid p2b2, complete sequence",Plasmid,p2b2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,109179,51111,41779,China,Homo sapiens,Sep-2018,respiratory tract
CP078123,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KPC-2 plasmid pKP169-P2, complete sequence",Plasmid,pKP169-P2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,157394,45551,54883,China,Homo sapiens,2020-12-28,sputum
CP069172,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KPWX136 plasmid pB, complete sequence",Plasmid,pB,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134972,107382,116714,China,Homo sapiens,2020-10-15,sputum
CP167375,Klebsiella pneumoniae,"Klebsiella pneumoniae strain GDFK0753 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,88978,40685,31353,China,Homo sapiens,2018,Not specified
CP087625,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain DD02280 plasmid pDD02280-2, complete sequence",Plasmid,pDD02280-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,139857,62436,53104,China,Homo sapiens,2017-12-01,Not specified
ON111449,Klebsiella pneumoniae,"Klebsiella pneumoniae strain C6707 plasmid unnamed1, complete sequence",Plasmid,unnamed1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,91779,2844,12176,China,Not specified,21-Jun-2019,sputum
CP147747,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 20200220S2 plasmid unnamed1, complete sequence",Plasmid,unnamed1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133696,107945,117277,China,Homo sapiens,2020-02-20,pus
CP193477,Klebsiella pneumoniae,"Klebsiella pneumoniae strain kp2007 plasmid pkp2007-KPC, complete sequence",Plasmid,pkp2007-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,127019,48101,38769,China,Homo sapiens,2023-11-06,urine
CP173411,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP400 plasmid pKP400-2, complete sequence",Plasmid,pKP400-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,140060,62241,52909,China,Homo sapiens,2023,blood
KP893385,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain KP1034 plasmid pKP1034, complete sequence",Plasmid,pKP1034,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,136848,128418,119086,China,Not specified,01-May-2010,throat swab
CP084745,Klebsiella pneumoniae,Klebsiella pneumoniae strain KP200731214 plasmid pKP-KPC-2,Plasmid,pKP-KPC-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,128928,51111,41779,China,Homo sapiens,2020-05-20,Not specified
CP154425,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kp387 plasmid p387-2, complete sequence",Plasmid,p387-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,139309,110994,101662,China,Homo sapiens,2021,sputum
CP066906,Klebsiella pneumoniae,"Klebsiella pneumoniae strain XHKP502 plasmid pXHKP502-2, complete sequence",Plasmid,pXHKP502-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,85781,17204,26536,China,Homo sapiens,10-Aug-2016,Tracheal intubation
MN823985,Serratia marcescens,"Serratia marcescens strain 160316055 plasmid p16055-KPC, complete sequence",Plasmid,p16055-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,108662,44879,54211,China,Not specified,Not specified,Jiangsu
CP162936,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRKP2 plasmid pCRKP2-2, complete sequence",Plasmid,pCRKP2-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,138913,61695,71027,China,Homo sapiens,2023-06,Not specified
CP187245,Klebsiella pneumoniae,"Klebsiella pneumoniae strain C23 plasmid p3-C23, complete sequence",Plasmid,p3-C23,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,65029,37273,46605,China,homo,2018-03-01,Not specified
CP132044,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRKP-B8 plasmid pCRKP-B8-KPC, complete sequence",Plasmid,pCRKP-B8-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133859,55238,45906,Not specified,Homo sapiens,2021-03-25,feces
CP064212,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JX-CR-hvKP-9 plasmid pJX9-1, complete sequence",Plasmid,pJX9-1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,277720,183586,192918,China,Not specified,2018/2019,blood
CP092788,Klebsiella pneumoniae,"Klebsiella pneumoniae strain XH1508 plasmid pXH1508-2, complete sequence",Plasmid,pXH1508-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133775,55955,46623,China,Homo sapiens,2019-05-10,pus
CP154295,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP22 plasmid pKP22-KPC, complete sequence",Plasmid,pKP22-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,88313,59690,69022,China,Not specified,2020-06-24,bile
CP107293,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRKP_45 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,205511,161039,170371,China,Homo sapiens,2018-12-04,sputum
CP119043,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CR-hvKP221 plasmid pCR-hvKP221-KPC-P3, complete sequence",Plasmid,pCR-hvKP221-KPC-P3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,136943,19155,9823,China,Homo sapiens,2020-07-13,Not specified
CP195922,Klebsiella pneumoniae,"Klebsiella pneumoniae strain YC-2084 plasmid pYC2084-2, complete sequence",Plasmid,pYC2084-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,129682,101364,92032,China,Homo sapiens,2024-08-30,Secretion
CP116494,Klebsiella pneumoniae,"Klebsiella pneumoniae strain XY05-03 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,85083,19827,10495,China,Not specified,2019-05-03,cerebrospinal fluid
ON111447,Klebsiella pneumoniae,"Klebsiella pneumoniae strain C6661 plasmid unnamed, complete sequence",Plasmid,unnamed,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,183190,36336,45668,China,Homo sapiens,2019-03-16,sputum
CP128081,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2018C01-117 plasmid p2018C01-117-2, complete sequence",Plasmid,p2018C01-117-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,104047,82825,92157,Taiwan,Homo sapiens,2018,Not specified
CP154300,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP150 plasmid pKP150-Vir_KPC, complete sequence",Plasmid,pKP150-Vir_KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,234553,148740,139408,China,Not specified,2022-09-12,blood
CP162932,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRKP1 plasmid pCRKP1-3, complete sequence",Plasmid,pCRKP1-3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,79185,3517,12849,China,Homo sapiens,2023-06,Not specified
CP167369,Klebsiella pneumoniae,"Klebsiella pneumoniae strain GDFK0765 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,145646,8047,17379,China,Homo sapiens,2018,Not specified
CP031936,Klebsiella pneumoniae,"Klebsiella pneumoniae strain GZ-1 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133770,75412,66080,China,Homo sapiens,2016-10,Not specified
CP107313,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRKP_41 plasmid unnamed1, complete sequence",Plasmid,unnamed1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,146891,132037,141369,China,Homo sapiens,2018-12-04,lavage fluid
CP181476,Escherichia coli,"Escherichia coli strain C600-p2-3 plasmid pC600-p2-3, complete sequence",Plasmid,pC600-p2-3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,196720,56410,47078,China,Not specified,2021-12-21,conjugation assay
CP146601,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP15 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,141491,79467,88799,China,Homo sapiens,2022-04-20,Not specified
CP147750,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 20200226S3 plasmid unnamed1, complete sequence",Plasmid,unnamed1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133699,107945,117277,China,Homo sapiens,2020-02-26,bone marrow
KT185451,Klebsiella pneumoniae,"Klebsiella pneumoniae plasmid pCT-KPC strain LJ04, complete sequence",Plasmid,pCT-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,151466,88926,79594,Not specified,Homo sapiens,Not specified,"sputum sample of a patient in a teaching hospital from Guangzhou, China"
CP184856,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kp2325-R3 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133053,74986,65654,China,Not specified,2023,liquid culture
MK191023,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP17-15 plasmid p17-15-KPC, complete sequence",Plasmid,p17-15-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,105106,18952,28284,China,Homo sapiens male,11/10/2017,Sputum
CP196488,Klebsiella pneumoniae,"Klebsiella pneumoniae strain XY-KP1225 plasmid pKP1225-P2, complete sequence",Plasmid,pKP1225-P2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133775,55955,46623,China,Homo sapiens,2021-04-01,Not specified
CP152450,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JXLV-KP19 plasmid p19-3, complete sequence",Plasmid,p19-3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,116361,47365,56697,China,Homo sapiens,2020,blood
CP170963,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2014C06-205 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,94155,72932,82264,Taiwan,Homo sapiens,2014,Not specified
PP746479,Klebsiella pneumoniae,"Klebsiella pneumoniae strain SCNJ43 plasmid pKPC-2_SCNJ43, complete sequence",Plasmid,pKPC-2_SCNJ43,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133766,55949,46617,China,Not specified,Not specified,Patient
CP167612,Klebsiella pneumoniae,"Klebsiella pneumoniae strain GDFK0017 plasmid unnamed1, complete sequence",Plasmid,unnamed1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,107817,88232,78900,China,Homo sapiens,2014,Not specified
CP136845,Klebsiella pneumoniae,"Klebsiella pneumoniae strain L2329 plasmid pL2329-KPC-2, complete sequence",Plasmid,pL2329-KPC-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133771,55955,46623,China,Homo sapiens,2020-07-16,feces
CP064234,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JX-CR-hvKP-5 plasmid pJX5-2, complete sequence",Plasmid,pJX5-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,105085,58039,67371,China,Homo sapiens,2018/2019,Not specified
CP128098,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2018C01-022 plasmid p2018C01-022-1, complete sequence",Plasmid,p2018C01-022-1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,325200,303978,313310,Taiwan,Homo sapiens,2018,Not specified
CP082761,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 36 plasmid pKP36-KPC, complete sequence",Plasmid,pKP36-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133771,55954,46622,China,Homo sapiens,2017-06-07,Not specified
CP100112,Klebsiella pneumoniae,"Klebsiella pneumoniae strain HSKP104 plasmid pHSKP104-2, complete sequence",Plasmid,pHSKP104-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,94061,18912,28244,China,Homo sapiens,2018,sputum
MT920902,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 161213881-2 plasmid p138812-KPC, complete sequence",Plasmid,p138812-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,107449,49143,58475,China,Not specified,Not specified,Not specified
CP097677,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IR12024_1 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,162611,101191,110523,China,Homo sapiens,2022-01-19,Not specified
CP146192,Klebsiella pneumoniae,"Klebsiella pneumoniae strain kp1 plasmid unnamedB, complete sequence",Plasmid,unnamedB,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133766,55949,46617,China,Homo sapiens,2020-01-11,Not specified
CP047683,Citrobacter koseri,"Citrobacter koseri strain K118 plasmid pK118-KPC, complete sequence",Plasmid,pK118-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,103175,18952,28284,China,Homo sapiens,25-Dec-2018,blood
CP128030,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2018C01-166 plasmid p2018C01-166-2, complete sequence",Plasmid,p2018C01-166-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,104047,82825,92157,Taiwan,Homo sapiens,2018,Not specified
CP087666,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain DD01845 plasmid pDD01845-3, complete sequence",Plasmid,pDD01845-3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,112224,65472,56140,China,Homo sapiens,2017-12-01,Not specified
CP154393,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP33 plasmid pKP33-KPC, complete sequence",Plasmid,pKP33-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,150086,58780,49448,China,Not specified,2019-01-15,sputum
MW218143,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP137060 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,146878,89205,79873,China,Homo sapiens,2019-11-15,sputum
CP188102,Klebsiella pneumoniae,"Klebsiella pneumoniae strain H30845 plasmid pKP845_2, complete sequence",Plasmid,pKP845_2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134602,55954,46622,China,Homo sapiens,2021-12,swab sample
CP084494,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 1864 plasmid p1864-2, complete sequence",Plasmid,p1864-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,152725,69779,60447,China,Homo sapiens,2018-11-09,Not specified
CP092795,Klebsiella pneumoniae,"Klebsiella pneumoniae strain XH1507 plasmid pXH1507-2, complete sequence",Plasmid,pXH1507-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133775,55955,46623,China,Homo sapiens,2019-05-10,pus
CP101564,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain KP65 plasmid p65_1, complete sequence",Plasmid,p65_1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,126958,112676,122008,China,Homo sapiens,2013-04,urine
CP096232,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain H39 plasmid pKPC-H39, complete sequence",Plasmid,pKPC-H39,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,114748,28586,37918,China,Homo sapiens,2017,Not specified
MZ475710,Klebsiella pneumoniae,"Klebsiella pneumoniae strain NTUH-K2044-CR plasmid unnamed2, partial sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,112901,23961,14629,China,Not specified,15-Dec-2020,transconjugant
MN200129,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 17ZR-91 plasmid p17ZR-91-IncFII-114, complete sequence",Plasmid,p17ZR-91-IncFII-114,IncFII,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,114834,102892,93560,Not specified,Homo sapiens,Not specified,Not specified
CP054782,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP20194a plasmid pKP20194a-p2, complete sequence",Plasmid,pKP20194a-p2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133771,55954,46622,China,Homo sapiens,2019-04-03,sputum
CP072557,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP2648 plasmid pKP2648-KPC, complete sequence",Plasmid,pKP2648-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,102746,26714,36046,China,Homo sapiens,2020-08-06,Not specified
CP041375,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP58 plasmid pKP58-2, complete sequence",Plasmid,pKP58-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134972,55955,46623,China,Homo sapiens,2018-05-04,urine
CP127155,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain T1 plasmid pT1_p2, complete sequence",Plasmid,pT1_p2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,123027,64974,55642,China,Homo sapiens,2021,Shanghai East Hospital
CP130259,Klebsiella pneumoniae,"Klebsiella pneumoniae strain DX2-3hy plasmid pKPC-2, complete sequence",Plasmid,pKPC-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133771,55954,46622,China,elephant,2019-12-09,feces
PP746481,Klebsiella pneumoniae,"Klebsiella pneumoniae strain SCNJ50 plasmid pKPC-2_SCNJ50, complete sequence",Plasmid,pKPC-2_SCNJ50,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,135683,55961,46629,China,Not specified,Not specified,Patient
CP183786,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 56930 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133120,55955,46623,China,Homo sapiens,2023-03-03,clinical
CP129831,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2020N17-065 plasmid p2020N17-065-90k, complete sequence",Plasmid,p2020N17-065-90k,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,90802,13767,4435,Taiwan,Homo sapiens,2020,Not specified
CP167372,Klebsiella pneumoniae,"Klebsiella pneumoniae strain GDFK0762 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,145646,85701,76369,China,Homo sapiens,2018,Not specified
CP082767,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 12 plasmid pKP12-KPC, complete sequence",Plasmid,pKP12-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133376,55955,46623,China,Homo sapiens,2017-12-25,Not specified
CP125342,Klebsiella pneumoniae,"Klebsiella pneumoniae strain WYKP589 plasmid pWYKP589-2, complete sequence",Plasmid,pWYKP589-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,110599,4324,13656,China,Homo sapiens,2022-06-21,sputum
CP119014,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CR-hvKP005 plasmid pCR-hvKP005-KPC-P1, complete sequence",Plasmid,pCR-hvKP005-KPC-P1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,69455,6376,15708,China,Homo sapiens,2017-03-11,Not specified
CP119436,Serratia marcescens,"Serratia marcescens strain K1030 plasmid pK1030-KPC, complete sequence",Plasmid,pK1030-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,86503,15465,6133,China,Homo sapiens,2021,sputum
CP021195,Escherichia coli,"Escherichia coli strain H17 plasmid pH17-2, complete sequence",Plasmid,pH17-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,107793,54127,44795,China,Homo sapiens,2012-10,hospital
CP084208,Escherichia coli,"Escherichia coli strain EC2648-R1-1 plasmid pKPC-fusion-1, complete sequence",Plasmid,pKPC-fusion-1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,139530,101804,92472,China,Not specified,2020-09-01,conjugation assay
CP090434,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain KPN857 plasmid pB, complete sequence",Plasmid,pB,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134873,55955,46623,China,Homo sapiens,2021-05-01,blood
CP029225,Klebsiella pneumoniae,Klebsiella pneumoniae strain L388 plasmid pKPC-L388,Plasmid,pKPC-L388,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,145851,88833,79501,China,Homo sapiens,2017,feces
CP195820,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRKP-1 plasmid pkp2020, complete sequence",Plasmid,pkp2020,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,287004,59067,68399,China,Homo sapiens,2023-07-19,urine
MT955362,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 17129 plasmid p17129-KPC, complete sequence",Plasmid,p17129-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,93504,18489,27821,China,Not specified,Not specified,Not specified
PP746482,Klebsiella pneumoniae,"Klebsiella pneumoniae strain SCNJ58 plasmid pKPC-2_SCNJ58, complete sequence",Plasmid,pKPC-2_SCNJ58,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,135810,55961,46629,China,Not specified,Not specified,Patient
CP154430,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kp459 plasmid p459-2, complete sequence",Plasmid,p459-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,94594,25896,35228,China,Homo sapiens,2021,blood
CP128053,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2016C08-223 plasmid p2016C08-223-3, complete sequence",Plasmid,p2016C08-223-3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,100971,79748,89080,Taiwan,Homo sapiens,2016,Not specified
CP158288,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY304 plasmid p304-2, complete sequence",Plasmid,p304-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,114648,96910,87578,China,Homo sapiens,2022-01-01,Not specified
CP154303,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP156 plasmid pKP156-KPCx2, complete sequence",Plasmid,pKP156-KPCx2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,121777,47981,57313,China,Not specified,2022-09-29,sputum
PP746485,Klebsiella pneumoniae,"Klebsiella pneumoniae strain SCNJ57 plasmid pKPC-2_SCNJ57, complete sequence",Plasmid,pKPC-2_SCNJ57,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,123420,43571,34239,China,Not specified,Not specified,Patient
CP106762,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP0937 plasmid pKP0937-2, complete sequence",Plasmid,pKP0937-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134861,106973,116305,China,Homo sapiens,2022-05,sputum
CP141602,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP3682 plasmid pKP3682-2, complete sequence",Plasmid,pKP3682-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,149114,39558,48890,China,Homo sapiens,2023-01,Bronchoalveolar lavage fluid
CP061346,Klebsiella pneumoniae,Klebsiella pneumoniae strain LHM-2 plasmid pKPCtig00001846,Plasmid,pKPCtig00001846,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,95779,18804,9472,China,Homo sapiens,2018-09-01,Not specified
CP064225,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JX-CR-hvKP-7 plasmid pJX7-2, complete sequence",Plasmid,pJX7-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133575,27266,17934,China,Not specified,2018/2019,blood
CP134809,Klebsiella pneumoniae,"Klebsiella pneumoniae strain F9 plasmid pWDMF9B, complete sequence",Plasmid,pWDMF9B,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,83258,25498,16166,China,Homo sapiens,2020-10-29,urine
CP064231,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JX-CR-hvKP-6 plasmid pJX6-2, complete sequence",Plasmid,pJX6-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,105085,62596,71928,China,Homo sapiens,2018/2019,Not specified
CP141668,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KPN1023 plasmid pK1023_2, complete sequence",Plasmid,pK1023_2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,131177,10093,19425,China,Homo sapiens,2021-12-27,sputum
CP167379,Klebsiella pneumoniae,"Klebsiella pneumoniae strain GDFK0750 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,105078,24949,15617,China,Homo sapiens,2018,Not specified
CP102639,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRKP-35 plasmid pCRKP-35_KPC, complete sequence",Plasmid,pCRKP-35_KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,132749,13108,3776,China,Homo sapiens,2019-05-20,blood
ON111451,Klebsiella pneumoniae,"Klebsiella pneumoniae strain C6656 plasmid unnamed, complete sequence",Plasmid,unnamed,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,124154,13832,23164,China,Not specified,13-Mar-2019,sputum
CP101785,Klebsiella pneumoniae,"Klebsiella pneumoniae strain hvKP323 plasmid unnamed5, complete sequence",Plasmid,unnamed5,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134477,55955,46623,China,Homo sapiens,2022-04-16T16:26:20Z,sputum
MN200130,Escherichia coli,"Escherichia coli strain EC600 plasmid p17ZR-91-TC1, complete sequence",Plasmid,p17ZR-91-TC1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,330557,280136,270804,China,Not specified,Not specified,Not specified
